Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Hispanic?,Sex,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Recidivism - Return to Prison,Days to Recidivism
2010,2013,0,1,1,0,3,4,11,0,1,182
2010,2013,0,1,1,4,0,4,5,0,1,227
2010,2013,0,1,1,0,4,1,23,2,1,183
2010,2013,0,1,1,5,3,1,1,0,1,183
2010,2013,1,1,1,4,5,4,11,0,1,183
2010,2013,0,1,1,0,3,0,0,0,1,184
2010,2013,3,1,1,4,4,0,0,2,1,185
2010,2013,0,1,1,1,1,4,5,2,1,187
2010,2013,0,1,1,0,3,4,5,0,1,187
2010,2013,0,1,1,3,3,4,5,0,1,188
2010,2013,0,0,1,1,6,0,0,2,1,188
2010,2013,0,1,1,1,1,0,7,0,1,189
2010,2013,0,1,1,1,1,4,5,0,1,190
2010,2013,0,1,1,3,3,1,18,0,1,190
2010,2013,0,1,1,3,3,3,9,0,1,191
2010,2013,0,1,1,3,4,0,0,0,1,191
2010,2013,0,1,1,0,3,0,0,2,1,192
2010,2013,0,0,1,0,1,4,5,0,1,193
2010,2013,0,1,1,0,3,3,3,0,1,193
2010,2013,0,1,1,4,5,4,5,0,1,194
2010,2013,1,1,1,4,4,0,0,2,1,194
2010,2013,0,1,1,0,3,4,5,0,1,195
2010,2013,1,1,1,1,1,3,9,0,1,195
2010,2013,0,1,1,0,3,1,23,0,1,198
2010,2013,1,1,1,4,3,1,4,2,1,198
2010,2013,0,1,1,1,3,3,8,2,1,198
2010,2013,0,1,1,3,3,3,8,0,1,198
2010,2013,0,1,1,3,1,4,5,0,1,198
2010,2013,0,1,1,0,3,1,1,0,1,198
2010,2013,0,1,1,0,3,3,3,0,1,199
2010,2013,0,1,1,0,1,4,5,0,1,201
2010,2013,0,1,1,3,5,0,0,0,1,201
2010,2013,0,0,0,5,3,1,1,0,1,202
2010,2013,0,1,1,1,3,3,9,0,1,209
2010,2013,0,1,1,1,1,4,5,0,1,209
2010,2013,0,1,1,0,3,3,9,0,1,263
2010,2013,0,1,1,4,4,3,9,2,1,209
2010,2013,0,1,1,0,4,0,0,2,1,210
2010,2013,0,1,0,3,0,4,5,0,1,210
2010,2013,0,0,1,0,3,3,3,0,1,210
2010,2013,0,1,1,1,1,4,5,0,1,211
2010,2013,0,1,1,1,1,3,9,2,1,212
2010,2013,1,1,1,0,4,0,0,2,1,212
2010,2013,0,1,1,0,3,3,9,0,1,213
2010,2013,0,1,1,4,0,4,5,0,1,214
2010,2013,0,1,1,1,3,0,7,0,1,214
2010,2013,1,1,1,3,3,3,3,0,1,214
2010,2013,0,1,1,0,3,4,11,0,1,215
2010,2013,1,1,1,3,3,3,9,0,1,215
2010,2013,1,1,1,1,4,1,18,0,1,216
2010,2013,0,1,1,1,3,3,9,0,1,216
2010,2013,1,1,1,1,1,4,5,0,1,217
2010,2013,0,0,1,1,3,3,9,0,1,217
2010,2013,0,1,0,1,1,3,9,0,1,217
2010,2013,0,1,1,3,3,3,8,0,1,217
2010,2013,1,1,1,3,1,4,5,0,1,218
2010,2013,0,1,1,0,1,3,3,0,1,218
2010,2013,0,1,1,1,0,4,5,0,1,220
2010,2013,0,1,1,1,1,4,5,0,1,221
2010,2013,0,1,1,5,4,0,23,2,1,222
2010,2013,0,1,1,4,3,4,23,0,1,222
2010,2013,0,1,1,4,3,3,3,0,1,222
2010,2013,0,1,0,3,0,6,22,0,1,223
2010,2013,1,1,1,1,3,1,16,0,1,223
2010,2013,0,1,1,1,3,4,5,2,1,224
2010,2013,0,1,1,1,0,4,5,0,1,224
2010,2013,0,0,1,3,5,3,3,0,1,224
2010,2013,0,1,1,0,3,3,3,0,1,224
2010,2013,0,1,1,3,1,4,5,0,1,225
2010,2013,0,1,1,5,0,4,5,0,1,226
2010,2013,1,1,0,4,3,4,23,2,1,227
2010,2013,0,1,1,0,3,3,3,2,1,227
2010,2013,1,1,1,0,3,3,3,0,1,228
2010,2013,1,1,1,1,1,3,9,0,1,228
2010,2013,0,1,1,1,4,4,23,2,1,228
2010,2013,1,1,1,5,4,3,9,2,1,229
2010,2013,0,1,1,3,1,4,5,2,1,229
2010,2013,0,1,1,1,3,1,18,0,1,229
2010,2013,1,1,1,3,1,3,9,0,1,229
2010,2013,0,1,1,0,3,3,3,2,1,229
2010,2013,0,1,1,1,0,4,5,0,1,230
2010,2013,0,1,1,1,3,4,5,0,1,231
2010,2013,0,1,1,1,3,0,0,0,1,231
2010,2013,1,1,1,3,1,4,5,0,1,231
2010,2013,1,1,1,3,3,1,1,0,1,231
2010,2013,0,1,1,0,3,1,1,0,1,232
2010,2013,0,1,1,3,5,3,3,0,1,232
2010,2013,3,1,1,0,3,3,9,0,1,234
2010,2013,1,1,1,1,0,4,5,0,1,235
2010,2013,1,1,1,0,1,4,5,0,1,235
2010,2013,1,1,1,1,4,0,0,0,1,235
2010,2013,1,1,1,0,3,3,3,2,1,237
2010,2013,0,1,1,0,3,3,3,0,1,238
2010,2013,0,1,1,1,1,3,9,2,1,239
2010,2013,0,1,1,4,5,3,3,2,1,239
2010,2013,0,1,1,0,1,4,5,0,1,239
2010,2013,0,1,1,1,3,4,23,0,1,239
2010,2013,1,1,1,3,3,1,16,0,1,240
2010,2013,0,1,1,3,3,3,8,0,1,240
2010,2013,0,1,1,1,3,0,0,0,1,241
2010,2013,0,1,1,1,1,4,5,0,1,242
2010,2013,0,1,1,3,3,0,6,2,1,242
2010,2013,1,1,1,4,3,3,3,0,1,242
2010,2013,0,1,1,3,3,3,9,0,1,341
2010,2013,1,1,1,4,4,1,18,0,1,243
2010,2013,1,1,0,4,1,4,5,0,1,243
2010,2013,0,1,1,0,3,3,3,2,1,243
2010,2013,0,1,1,3,3,3,9,0,1,245
2010,2013,0,1,1,4,0,0,10,0,1,246
2010,2013,0,1,1,0,3,0,6,2,1,248
2010,2013,0,1,1,1,4,0,0,2,1,249
2010,2013,0,1,1,1,1,4,5,0,1,249
2010,2013,0,1,1,3,3,3,8,0,1,249
2010,2013,0,1,1,1,3,1,1,0,1,250
